,year,winner_name,winner_flag,winner_photo,winner_url,climber_name,climber_flag,climber_photo,climber_url,sprinter_flag,sprinter_name,sprinter_photo,sprinter_url,year_url,young_flag,young_name,young_photo,young_url,img_map,winning_team,distance,etapes,speed,winner,etape_moyenne,climber_image,sprinter_image,winner_image,young_image
10,1913,Philippe Thys,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Philippethys.jpg,https://fr.wikipedia.org/wiki/Philippe_Thys_(cyclisme),,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1913,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Tour_de_France_1913_map-fr.svg/260px-Tour_de_France_1913_map-fr.svg.png,Peugeot,5287.0,15.0,26.715,Philippe Thys,352.47,,,Philippe_Thys.jpeg,
11,1914,Philippe Thys,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Philippethys.jpg,https://fr.wikipedia.org/wiki/Philippe_Thys_(cyclisme),,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1914,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Tour_de_France_1914_map-fr.svg/260px-Tour_de_France_1914_map-fr.svg.png,Peugeot,5380.0,15.0,26.835,Philippe Thys,358.67,,,Philippe_Thys.jpeg,
102,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1919,Firmin Lambot,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/9/9a/Firmin_Lambot.jpg,https://fr.wikipedia.org/wiki/Firmin_Lambot,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1919,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Tour_de_France_1919.png/260px-Tour_de_France_1919.png,La Sportive,5560.0,15.0,24.056,Firmin Lambot,370.67,,,Firmin_Lambot.jpeg,
13,1920,Philippe Thys,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Philippethys.jpg,https://fr.wikipedia.org/wiki/Philippe_Thys_(cyclisme),,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1920,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Tour_de_France_1920.png/260px-Tour_de_France_1920.png,La Sportive,5503.0,15.0,24.072,Philippe Thys,366.87,,,Philippe_Thys.jpeg,
14,1921,Léon Scieur,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/L%C3%A9on_Scieur_1913.jpg/260px-L%C3%A9on_Scieur_1913.jpg,https://fr.wikipedia.org/wiki/L%C3%A9on_Scieur,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1921,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Tour_de_France_1921.png/260px-Tour_de_France_1921.png,La Sportive,5485.0,15.0,24.724,Léon Scieur,365.67,,,Leon_Scieur.jpeg,
15,1922,Firmin Lambot,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/9/9a/Firmin_Lambot.jpg,https://fr.wikipedia.org/wiki/Firmin_Lambot,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1922,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Tour_de_France_1922.png/260px-Tour_de_France_1922.png,Peugeot,5375.0,15.0,24.196,Firmin Lambot,358.33,,,Firmin_Lambot.jpeg,
16,1923,Henri Pélissier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/1919pelissier.jpg/260px-1919pelissier.jpg,https://fr.wikipedia.org/wiki/Henri_P%C3%A9lissier,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1923,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Tour_de_France_1922.png/260px-Tour_de_France_1922.png,Automoto,5386.0,15.0,24.233,Henri Pélissier,359.07,,,Henri_Pelissier.jpeg,
17,1924,Ottavio Bottecchia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Italy_%281861-1946%29_crowned.svg/20px-Flag_of_Italy_%281861-1946%29_crowned.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ottavio_Bottecchia_1923.jpg/260px-Ottavio_Bottecchia_1923.jpg,https://fr.wikipedia.org/wiki/Ottavio_Bottecchia,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1924,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Tour_de_France_1924.png/260px-Tour_de_France_1924.png,Automoto,5425.0,15.0,24.25,Ottavio Bottecchia,361.67,,,Ottavio_Bottecchia.jpeg,
18,1925,Ottavio Bottecchia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Italy_%281861-1946%29_crowned.svg/20px-Flag_of_Italy_%281861-1946%29_crowned.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ottavio_Bottecchia_1923.jpg/260px-Ottavio_Bottecchia_1923.jpg,https://fr.wikipedia.org/wiki/Ottavio_Bottecchia,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1925,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Tour_de_France_1925.png/260px-Tour_de_France_1925.png,Automoto,5440.0,15.0,24.82,Ottavio Bottecchia,362.67,,,Ottavio_Bottecchia.jpeg,
19,1926,Lucien Buysse,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Lucien_Buysse_Paris-Roubaix_1919.JPG/260px-Lucien_Buysse_Paris-Roubaix_1919.JPG,https://fr.wikipedia.org/wiki/Lucien_Buysse,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1926,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Tour_de_France_1926.png/260px-Tour_de_France_1926.png,Automoto,5745.0,17.0,24.273,Lucien Buysse,337.94,,,Lucien_Buysse.jpeg,
20,1927,Nicolas Frantz,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/20px-Flag_of_Luxembourg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Nicolas_Frantz_%281899-1985%29.jpg/260px-Nicolas_Frantz_%281899-1985%29.jpg,https://fr.wikipedia.org/wiki/Nicolas_Frantz,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1927,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Tour_de_France_1927.png/260px-Tour_de_France_1927.png,Alcyon,5398.0,24.0,27.224,Nicolas Frantz,224.92,,,Nicolas_Frantz.jpeg,
21,1928,Nicolas Frantz,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/20px-Flag_of_Luxembourg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Nicolas_Frantz_%281899-1985%29.jpg/260px-Nicolas_Frantz_%281899-1985%29.jpg,https://fr.wikipedia.org/wiki/Nicolas_Frantz,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1928,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Tour_de_France_1928.png/260px-Tour_de_France_1928.png,Alcyon,5376.0,22.0,28.4,Nicolas Frantz,244.36,,,Nicolas_Frantz.jpeg,
22,1929,Maurice De Waele,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Maurice_De_Waele_Tour_de_France_1929.JPG/260px-Maurice_De_Waele_Tour_de_France_1929.JPG,https://fr.wikipedia.org/wiki/Maurice_De_Waele,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1929,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Tour_de_France_1929.png/260px-Tour_de_France_1929.png,Alcyon,5286.0,22.0,28.319,Maurice De Waele,240.27,,,Maurice_De_Waele.jpeg,
23,1930,André Leducq,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Andr%C3%A9_Leducq_1931_1.JPG/260px-Andr%C3%A9_Leducq_1931_1.JPG,https://fr.wikipedia.org/wiki/Andr%C3%A9_Leducq,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1930,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Tour_de_France_1930.png/260px-Tour_de_France_1930.png,France,4822.0,21.0,28.0,André Leducq,229.62,,,Andre_Leducq.jpeg,
24,1931,Antonin Magne,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Antonin_Magne_D%C3%A9dicace.jpg/260px-Antonin_Magne_D%C3%A9dicace.jpg,https://fr.wikipedia.org/wiki/Antonin_Magne,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1931,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Tour_de_France_1931.png/260px-Tour_de_France_1931.png,France,5091.0,24.0,28.735,Antonin Magne,212.12,,,Antonin_Magne.jpeg,
25,1932,André Leducq,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Andr%C3%A9_Leducq_1931_1.JPG/260px-Andr%C3%A9_Leducq_1931_1.JPG,https://fr.wikipedia.org/wiki/Andr%C3%A9_Leducq,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1932,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Tour_de_France_1932.png/260px-Tour_de_France_1932.png,France,4479.0,21.0,29.047,André Leducq,213.29,,,Andre_Leducq.jpeg,
26,1933,Georges Speicher,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Georges_Speicher.jpg/260px-Georges_Speicher.jpg,https://fr.wikipedia.org/wiki/Georges_Speicher,Vicente Trueba,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_the_Second_Spanish_Republic.svg/20px-Flag_of_the_Second_Spanish_Republic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Monumento_a_Vicente_Trueba_-_La_Cavada.JPG/260px-Monumento_a_Vicente_Trueba_-_La_Cavada.JPG,https://fr.wikipedia.org/wiki/Vicente_Trueba,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1933,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Tour_de_France_1933.png/260px-Tour_de_France_1933.png,France,4395.0,23.0,29.818,Georges Speicher,191.09,Vicente_Trueba.jpeg,,Georges_Speicher.jpeg,
27,1934,Antonin Magne,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Antonin_Magne_D%C3%A9dicace.jpg/260px-Antonin_Magne_D%C3%A9dicace.jpg,https://fr.wikipedia.org/wiki/Antonin_Magne,René Vietto,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Buffalo_-_arriv%C3%A9e_du_Prix_Wolber_-_Vietto.JPG/260px-Buffalo_-_arriv%C3%A9e_du_Prix_Wolber_-_Vietto.JPG,https://fr.wikipedia.org/wiki/Ren%C3%A9_Vietto,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1934,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tour_de_France_1934.png/260px-Tour_de_France_1934.png,France,4470.0,23.0,30.36,Antonin Magne,194.35,Rene_Vietto.jpeg,,Antonin_Magne.jpeg,
28,1935,Romain Maes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/5/5f/Romain_Maes.jpg,https://fr.wikipedia.org/wiki/Romain_Maes,Félicien Vervaecke,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,,https://fr.wikipedia.org/wiki/F%C3%A9licien_Vervaecke,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1935,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Tour_de_France_1935.png/260px-Tour_de_France_1935.png,Belgique,4338.0,21.0,30.65,Romain Maes,206.57,default.png,,Romain_Maes.jpeg,
29,1936,Sylvère Maes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/1/1b/Sylv%C3%A8re_Maes.jpg,https://fr.wikipedia.org/wiki/Sylv%C3%A8re_Maes,Julián Berrendero,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_the_Second_Spanish_Republic.svg/20px-Flag_of_the_Second_Spanish_Republic.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Berrendero_Carrera_03.JPG/260px-Berrendero_Carrera_03.JPG,https://fr.wikipedia.org/wiki/Juli%C3%A1n_Berrendero,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1936,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Tour_de_France_1936.png/260px-Tour_de_France_1936.png,Belgique,4442.0,21.0,31.108,Sylvère Maes,211.52,Julian_Berrendero.jpeg,,Sylvere_Maes.jpeg,
30,1937,Roger Lapébie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Roger_Lap%C3%A9bie.jpg/260px-Roger_Lap%C3%A9bie.jpg,https://fr.wikipedia.org/wiki/Roger_Lap%C3%A9bie,Félicien Vervaecke,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,,https://fr.wikipedia.org/wiki/F%C3%A9licien_Vervaecke,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1937,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tour_de_France_1937.png/260px-Tour_de_France_1937.png,France,4415.0,20.0,31.768,Roger Lapébie,220.75,default.png,,Roger_Lapebie.jpeg,
31,1938,Gino Bartali,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Italy_%281861-1946%29_crowned.svg/20px-Flag_of_Italy_%281861-1946%29_crowned.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gino_Bartali.jpg/260px-Gino_Bartali.jpg,https://fr.wikipedia.org/wiki/Gino_Bartali,Gino Bartali,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Italy_%281861-1946%29_crowned.svg/20px-Flag_of_Italy_%281861-1946%29_crowned.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gino_Bartali.jpg/260px-Gino_Bartali.jpg,https://fr.wikipedia.org/wiki/Gino_Bartali,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1938,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Tour_de_France_1938.png/260px-Tour_de_France_1938.png,Italie,4694.0,21.0,31.565,Gino Bartali,223.52,Gino_Bartali.jpeg,,Gino_Bartali.jpeg,
32,1939,Sylvère Maes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/1/1b/Sylv%C3%A8re_Maes.jpg,https://fr.wikipedia.org/wiki/Sylv%C3%A8re_Maes,Sylvère Maes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/1/1b/Sylv%C3%A8re_Maes.jpg,https://fr.wikipedia.org/wiki/Sylv%C3%A8re_Maes,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1939,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Tour_de_France_1939.png/260px-Tour_de_France_1939.png,Belgique,4224.0,18.0,31.986,Sylvère Maes,234.67,Sylvere_Maes.jpeg,,Sylvere_Maes.jpeg,
106,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1947,Jean Robic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Jean_Robic_%281947%29.png/260px-Jean_Robic_%281947%29.png,https://fr.wikipedia.org/wiki/Jean_Robic,Pierre Brambilla,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png,,https://fr.wikipedia.org/wiki/Pierre_Brambilla,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1947,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Tour_de_France_1947.png/260px-Tour_de_France_1947.png,Ouest,4642.0,21.0,31.412,Jean Robic,221.05,default.png,,Jean_Robic.png,
34,1948,Gino Bartali,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gino_Bartali.jpg/260px-Gino_Bartali.jpg,https://fr.wikipedia.org/wiki/Gino_Bartali,Gino Bartali,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gino_Bartali.jpg/260px-Gino_Bartali.jpg,https://fr.wikipedia.org/wiki/Gino_Bartali,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1948,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Tour_de_France_1948.png/260px-Tour_de_France_1948.png,Italie,4922.0,21.0,33.442,Gino Bartali,234.38,Gino_Bartali.jpeg,,Gino_Bartali.jpeg,
